Society,event_name,Food available,Alcohol available
SydneyUniversityLawSociety,SULS Fitness Club Boxes for Fitness,0,0
SydneyUniversityLawSociety,Social Justice & Public Interest Lunchtime Series - WEEK 9,1,0
SydneyUniversityLawSociety,Justice William Gummow Cup Equity Moot,0,0
SydneyUniversityLawSociety,Refugee Conference 2017,0,0
SydneyUniversityLawSociety,Week 8 Happy Hour,0,1
SydneyUniversityLawSociety,SULS Week 8 Interfaculty Sport - Basketball (Men's),0,0
SydneyUniversityLawSociety,SULS Fitness Club does Yoga,0,0
SydneyUniversityLawSociety,SULS Fitness Club goes Rock Climbing,0,0
SydneyUniversityLawSociety,SULS Week 7 Interfaculty Sport - Basketball (Female),0,0
SydneyUniversityLawSociety,SULS - SCLSS Intervarsity Sports Day,0,0
SydneyUniversityLawSociety,SULS Fitness Club goes Running,0,0
SydneyUniversityLawSociety,SULS Week 6 Interfaculty Sport - Rock Climbing and Badminton,0,0
SydneyUniversityLawSociety,SULS Week 5 Interfaculty Sport - Volleyball,0,0
SydneyUniversityLawSociety,Clayton Utz Education Guide Launch,0,0
SydneyUniversityLawSociety,SULS Week 4 Interfaculty Sport - Netball,0,0
SydneyUniversityLawSociety,Semester Two Competitions Boot Camp,0,0
SydneyUniversityLawSociety,Law in Society: Between Black and White Launch,0,0
SydneyUniversityLawSociety,SULS Week 3 Interfaculty Sport - Mixed Futsal,0,0
SydneyUniversityLawSociety,SULS City2Surf 2017 for Batyr,0,0
SydneyUniversityLawSociety,"ABL's ""Inside a Deal""",0,0
SydneyUniversityLawSociety,SULS Fitness Club - City2Surf Training,0,1
SydneyUniversityLawSociety,Semester 2 Welcome Back Drinks,0,1
SydneyUniversityLawSociety,"SULS Online Textbook Exchange, supported by Allen & Overy",0,0
SydneyUniversityLawSociety,SULS Semester 1 Informal 2017,0,0
SydneyUniversityLawSociety,SULS Study Space + Equi-Tea Station,0,0
SydneyUniversityLawSociety,Torts Moot Grand Final,0,0
SydneyUniversityLawSociety,Client Interviewing Competition Grand Final,0,0
SydneyUniversityLawSociety,Federal Constitutional Law Moot Grand Final,0,0
SydneyUniversityLawSociety,Week 13 Happy Hour,0,1
SydneyUniversityLawSociety,SULS Clerkship Networking Evening and Careers Guide Launch,0,1
SydneyUniversityLawSociety,Clayton Utz Negotiations Competition Grand Final,0,0
SydneyUniversityLawSociety,Public International Law Moot Grand Final,0,0
SydneyUniversityLawSociety,SULS Social Justice & Public Interest Careers Fair,0,1
SydneyUniversityLawSociety,Week 11 SULS Interfaculty Sport - 3km Run,0,1
SydneyUniversityLawSociety,Law School Basics #3 - Exam Technique,0,0
SydneyUniversityLawSociety,WEEK 11: Clerkship Presentations,0,0
SydneyUniversityLawSociety,SULS Wellbeing Week: Charity Movie Night (Supported by JWS),0,0
SydneyUniversityLawSociety,Mental Health Panel + Equity Handbook Launch (Supported by JWS),0,0
SydneyUniversityLawSociety,SULS Law Cruise 2017: Seafari,1,1
SydneyUniversityLawSociety,SULS Wellbeing Week: Chillout Room (Supported by JWS),0,0
SydneyUniversityLawSociety,Week 10 SULS Interfaculty Sport - Ultimate Frisbee,0,0
SydneyUniversityLawSociety,WEEK 10: Clerkship Presentations,0,0
SydneyUniversityLawSociety,SULS Hackathon Presented by Gilbert + Tobin,0,0
SydneyUniversityLawSociety,Law & Business Alumni-Student Discussion Forum,0,0
SydneyUniversityLawSociety,Week 9 SULS Interfaculty Sport - Women's Futsal,0,0
SydneyUniversityLawSociety,Sir John Peden Contract Law Moot,0,0
SydneyUniversityLawSociety,WEEK 9: Clerkship Presentations,0,0
SydneyUniversityLawSociety,SULS Trivia Night,0,0
SydneyUniversityLawSociety,Intro to Clerkships and Careers,0,0
SydneyUniversityLawSociety,Week 8 SULS Interfaculty Sport - Male Futsal,0,0
SydneyUniversityLawSociety,Discover Newtown Pub Crawl,1,1
SydneyUniversityLawSociety,Week 7 Happy Hour,0,1
subski,Subski AGM,0,0
subski,Subski Presents: Halloween Study Cruise [SOLD OUT],0,0
subski,Subski Presents: Around the World,0,1
subski,Thredbo Blizzard of OZ Signups,0,1
subski,Subski & Esssa Presents: Let's Get Physical,0,1
subski,Subski NZ Tour of Duty Signups,0,1
subski,"Subski Presents: Salt, Sand & Snow",0,0
subski,End of Exams Party: When I Grow Up Subski x BSOC x SASS x TILT,0,1
subski,Subski 2016 AGM,0,0
subski,Subski & Bamsoc Halloween Booze Cruise,0,1
subski,Subski presents: Woodstock '16,0,1
subski,Blizzard of Oz 2016,0,0
subski,SUBSKI 2016 NZ Tour of Duty SIGNUPS,0,1
subski,"SUBSKI Presents: Salt, Sand & Snow",0,1
subski,SUBSKI's 2015 AGM,0,0
subski,"SUBSKI Presents ""Out Of This World""",0,1
sydneyartssociety,SASS Presents - The Met Gala | Arts Ball 2k17,0,0
sydneyartssociety,Sydney Arts Students Society AGM,0,0
sydneyartssociety,SASS x ARNA - 2k17 Launch Party!,0,0
sydneyartssociety,Interfac Sport 5km Run,0,0
sydneyartssociety,Interfac Mixed Touch Football,0,0
sydneyartssociety,SASS x ArtsSoc Presents: IntervARTSity Pubcrawl,0,0
sydneyartssociety,Interfaculty Sport - Men's Basketball,0,0
sydneyartssociety,SASS Interfaculty Sport - Mixed Volleyball!,0,0
sydneyartssociety,SUBS attends: Wear It Purple @USyd,0,1
sydneyartssociety,SASS Attends: Wear It Purple @USYD,0,1
sydneyartssociety,SASS Interfaculty Sport - Mixed Netball,0,0
sydneyartssociety,SASS Interfaculty Sport! Mixed Futsal,0,0
sydneyartssociety,SASS Back 2 Uni Party - Turtlenecks and Tank Tops!,0,1
sydneyartssociety,ARNA 2017 - Call-Out for Submissions!,0,0
sydneyartssociety,SASS Cruise 2017 - Casino Royale,1,1
sydneyartssociety,SASS Runs! Interfaculty 3km Race,0,0
sydneyartssociety,Interfaculty Pub Crawl,1,1
sydneyartssociety,SASS Interfaculty Ultimate Frisbee,0,0
sydneyartssociety,SASS Semester One Pub Crawl 2017!,1,0
sydneyartssociety,SASS General Meeting!,0,0
sydneyartssociety,SASS Kicks! Interfaculty Men's Futsal,0,0
sydneyartssociety,SASS Swings! Interfaculty Tennis,0,0
sydneyartssociety,ARNA Literary Journal - Editor Call Out,0,0
sydneyartssociety,SASS Drinks + Pizza (with FASS student reps!),1,1
sydneyartssociety,SASS Swims! Interfaculty Swimming,0,0
sydneyartssociety,SASS Bats! Interfaculty Cricket,0,0
sydneyartssociety,SASS First Year Arts Camp!,0,1
sydneyartssociety,SASS Interfaculty Sport!!! Mixed Touch Football,0,0
sydneyartssociety,SASS x Sidebar - Welcome Back to Uni Party!,1,1
sydneyartssociety,End of Exams Party: When I Grow Up Subski x BSOC x SASS x TILT,0,1
sydneyartssociety,SASS Presents - Masquerade Ball 2016,0,1
sydneyartssociety,SASS Runs! - Interfaculty 5km Race,0,0
sydneyartssociety,Verge Festival // ARNA Journal Launch,0,0
sydneyartssociety,SASS Interfaculty Touch Football!,0,0
