Society,Facebook_Link,Facebook_ID,Category,Likes
Tzu Chi College Association,https://www.facebook.com/groups/USYD.TCCA/,groups/USYD.TCCA/,Humanitarian-Community-Aid,0
Triathlon Club,https://www.facebook.com/groups/232874026752808/,groups/232874026752808/,Sports-Recreation,0
Taiwanese Students Association,http://www.facebook.com/groups/SydneyTSA/,groups/SydneyTSA/,Ethno-Cultural,0
Turkish Society,https://www.facebook.com/turksocusyd,turksocusyd,Ethno-Cultural,0
United Nations Society,http://https://www.facebook.com/usydunsociety,usydunsociety,Humanitarian-Community-Aid,0
Unibodhi: University of Sydney Buddhist Society,http://www.facebook.com/groups/unibodhi,groups/unibodhi,Faith-Religion,0
Vegetarian Society,https://www.facebook.com/groups/usydvegesoc/,groups/usydvegesoc/,Food-Beverage,0
Veterinary Science Revue Society,https://www.facebook.com/groups/1927239690888886/,groups/1927239690888886/,Revues,0
Variety Children's Society,https://www.facebook.com/groups/1035250696563775/,groups/1035250696563775/,Humanitarian-Community-Aid,0
Vision Generation,https://www.facebook.com/groups/409642099234959/,groups/409642099234959/,Humanitarian-Community-Aid,0
WASABI - Japanese Cultural Exchange Society,https://www.facebook.com/groups/wasabi.usyd/,groups/wasabi.usyd/,Ethno-Cultural,0
Young Entrepreneurs Society,http://https://www.facebook.com/Usydyesoc/,Usydyesoc/,Professional-Development,0
Young Vinnies Society,http:///www.facebook.com/groups/usydvinnies/,groups/usydvinnies/,Humanitarian-Community-Aid,0
